@relation sponge

@attribute atributo1 {AAPTOS_AAPTOS,ALECTONA_MILLARI,CLIONA_CARTERI,CLIONA_CELATA,CLIONA_LABYRINTHICA,CLIONA_SCHMIDTI,CLIONA_VIRIDIS,DIPLASTRELLA_BISTELLATA,DIPLASTRELLA_ORNATA,LAXOSUBERITES_ECTYONIMUS,LAXOSUBERITES_FERRERHERNANDEZI,LAXOSUBERITES_RUGOSUS,OXYCORDYLA_PELLITA,POLYMASTIA_AGGLUTINARIS,POLYMASTIA_CONIGERA,POLYMASTIA_CORTICATA,POLYMASTIA_ECTOFIBROSA,POLYMASTIA_FUSCA,POLYMASTIA_GRIMALDI,POLYMASTIA_HIRSUTA,POLYMASTIA_INFLATA,POLYMASTIA_INFRAPILOSA,POLYMASTIA_INVAGINATA,POLYMASTIA_LITTORALIS,POLYMASTIA_MAMMILLARIS,POLYMASTIA_MARTAE,POLYMASTIA_POLYTYLOTA,POLYMASTIA_RADIOSA,POLYMASTIA_ROBUSTA,POLYMASTIA_SPINULA,POLYMASTIA_TENAX,POLYMASTIA_TISSIERI,POLYMASTIA_UBERRIMA,PROSUBERITES_EPIPHYTUM,PROSUBERITES_LONGISPINA,PROSUBERITES_RUGOSUS,PROTELEIA_SOLLASI,PSEUDOSUBERITES_HYALINUS,PSEUDOSUBERITES_SULFUREUS,QUASILINA_BREVIS,QUASILINA_INTERMEDIA,QUASILINA_RICHARDII,RHIZAXINELLA_BISETA,RHIZAXINELLA_ELONGATA,RHIZAXINELLA_PYRIFERA,RHIZAXINELLA_UNISETA,RIDLEYA_OVIFORMIS,SPHAEROTYLUS_ANTARCTICUS,SPHAEROTYLUS_CAPITATUS,SPINULARIA_SPINULARIA,SPIRASTRELLA_CUNCTATRIX,SPIRASTRELLA_MINAX,STYLOCORDYLA_BOREALIS,SUBERITES_CAMINATUS,SUBERITES_CARNOSUS_V.INCRUSTANS,SUBERITES_CARNOSUS_V.RAMOSUS,SUBERITES_CARNOSUS_V.TYPICUS,SUBERITES_DOMUNCULA,SUBERITES_FICUS,SUBERITES_GIBBOSICEPS,TENTORIUM_PAPILLATUS,TENTORIUM_SEMISUBERITES,TERPIOS_FUGAX,TETHYA_AURANTIUM,TETHYA_CITRINA,TIMEA_CHONDRILLOIDES,TIMEA_HALLEZI,TIMEA_MIXTA,TIMEA_STELLATA,TIMEA_UNISTELLATA,TRACHYTELEIA_STEPHENSI,TRICHOSTEMA_HEMISPHAERICUM,TRICHOSTEMA_SARSI,TYLEXOCLADUS_JOUBINI,WEBERELLA_BURSA,WEBERELLA_VERRUCOSA}
@attribute atributo2 {1_CAPA,SIN_CORTEX,2_CAPAS,3_CAPAS}
@attribute atributo3 {SIN_CAPA_INTERNA_DEL_CORTEX,TANGENCIAL,PERPENDICULAR,TANGENCIAL_Y_PERPENDICULAR,BANDAS_DE_ESPICULAS_CRUZADAS,MICROSCLERAS}
@attribute atributo4 {SI,NO}
@attribute atributo5 {NO,SIN_CORTEX,SI}
@attribute atributo6 {NO,SIN_CORTEX,SI}
@attribute atributo7 {NO,SIN_CORTEX,SI}
@attribute atributo8 numeric
@attribute atributo9 {NO,SI}
@attribute atributo10 {SIN_TILOSTILOS_ADICIONALES,INTERMEDIARIOS,ECTOSOMICOS_DISPERSOS,ECTOSOMICOS_EN_RAMILLETES,INTERMEDIARIOS_Y_ECTOSOMICOS}
@attribute atributo11 {1_TIPO,2_TIPOS,3_TIPOS,SI_TIPO}
@attribute atributo12 {NO,SI}
@attribute atributo13 {NO,SI}
@attribute atributo14 {NO,SI}
@attribute atributo15 {NO,SI}
@attribute atributo16 {SI,NO}
@attribute atributo17 {NO,SI}
@attribute atributo18 {NO,SI}
@attribute atributo19 {SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,FUSIFORME,POLITILOTA}
@attribute atributo20 {SIN_ESPICULA_PRINCIPAL_TILOSTILO_,FUSIFORME,NORMAL,POLITILOTA}
@attribute atributo21 {SIN_TILOSTILOS,SUBESFERICA_ALARGADA_OVOIDE,TRILOBULADA,POMO}
@attribute atributo22 {EMPALIZADA,SIN_MEGASCLERAS_ECTOSOMICAS,RAMILLETES,TANGENCIALES}
@attribute atributo23 {SUBESFERICA_ALARGADA_OVOIDE,SIN_TILOSTILO_ECTOSOMICO,TRILOBULADA_CON_VESICULA_AXIAL}
@attribute atributo24 {RECTA_FUSIFORME,SIN_MEGASCLERA_ECTOSOMICA,CURVADA,RECTA_NO_FUSIFORME}
@attribute atributo25 {ESTILO,SIN_MEGASCLERA_ECTOSOMICA,TILOSTILO,OXAS_ESTRONGILOXAS,ESTILO_TILOSTILO}
@attribute atributo26 {SIN_EXOSTILOS,TILOSTILO_LISO,ANATRIENAS,ESFEROTILOS,TILOSTILOS_ESPINOSOS_EN_LA_PUNTA,CLADOTILOSTILOS}
@attribute atributo27 {SIN_MEGASCLERA_INTERMEDIARIA,NORMAL,POLITILOTA,FUSIFORME}
@attribute atributo28 {SIN_MEGASCLERA_INTERMEDIARIA,ESTILO,TILOSTILO,ESTILO_TILOSTILO}
@attribute atributo29 numeric
@attribute atributo30 {NO,SI}
@attribute atributo31 {SIN_MICROSCLERAS,ASTER,MICROESTILOS_Y_MICROXAS,TRICODRAGMA,MICROESTRONGILOS_CENTROTILOTES}
@attribute atributo32 {NO,SI}
@attribute atributo33 {SIN_ESFERASTER,|40_110|,|27_44|,|10_12|,|5_6_Y_15_35|,|20_25|}
@attribute atributo34 {SIN_ASTER,ANFIASTER,ESPIRASTER,DIPLASTER,QUIASTER_Y_ESFERASTER,ESFERASTER,QUIASTER}
@attribute atributo35 {SIN_DIPLASTERES,CON_ACTINAS_SIMPLES,CON_ACTINAS_COMPLEJAS}
@attribute atributo36 {SIN_ESFERASTER,OXIESFERASTER,OXIESFERASTER_Y_TILOESFERASTER}
@attribute atributo37 {MASIVO_IRREGULAR,INCRUSTANTE,DE_REVESTIMIENTO,MAZAS_PEDUNCULADAS_1/PEDUNCULO,HEMISFERICA,MAZAS_PEDUNCULADAS_VARIAS/PEDUNCULO,GLOBULOSA,RAMIFICADA,DE_CONO_INVERTIDO}
@attribute atributo38 numeric
@attribute atributo39 {NO,SI}
@attribute atributo40 {OTROS,AMARILLO_PALIDO,AZUL_O_ANARANJADO_INTENSOS}
@attribute atributo41 {RUGOSA,LISA,TOTALMENTE_HISPIDA,SOLO_PAPILAS_LISAS,HISPIDEZ_MAYOR_HACIA_LA_BASE,ATERCIOPELADA,CON_AREAS_POLIGONALES_ABULTADAS,FRANJA_BASAL_DE_ESPICULAS_EN_FLECO}
@attribute atributo42 {RADIAL,CONFUSA,HYMEDESMOIDE,PLUMOSA,REDUCIDO,AXIAL,RADIAL_EN_PERIFERIA}
@attribute atributo43 {NO,SI}
@attribute atributo44 {NO,SI}
@attribute atributo45 {NO,SI}
@attribute atributo46 {DURO,BLANDO,AMBOS}

@data
LAXOSUBERITES_FERRERHERNANDEZI,SIN_CORTEX,SIN_CAPA_INTERNA_DEL_CORTEX,NO,SIN_CORTEX,SIN_CORTEX,SIN_CORTEX,0,NO,SIN_TILOSTILOS_ADICIONALES,2_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,TRILOBULADA,RAMILLETES,TRILOBULADA_CON_VESICULA_AXIAL,CURVADA,TILOSTILO,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,0,NO,OTROS,RUGOSA,PLUMOSA,NO,NO,NO,DURO
LAXOSUBERITES_RUGOSUS,SIN_CORTEX,SIN_CAPA_INTERNA_DEL_CORTEX,NO,SIN_CORTEX,SIN_CORTEX,SIN_CORTEX,0,NO,SIN_TILOSTILOS_ADICIONALES,1_TIPO,NO,NO,NO,NO,NO,NO,SI,NORMAL,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,SIN_TILOSTILO_ECTOSOMICO,SIN_MEGASCLERA_ECTOSOMICA,SIN_MEGASCLERA_ECTOSOMICA,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,0,NO,OTROS,TOTALMENTE_HISPIDA,PLUMOSA,NO,NO,NO,DURO
OXYCORDYLA_PELLITA,1_CAPA,SIN_CAPA_INTERNA_DEL_CORTEX,SI,NO,SI,NO,1,NO,SIN_TILOSTILOS_ADICIONALES,3_TIPOS,NO,SI,NO,NO,SI,NO,NO,NORMAL,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,TANGENCIALES,SIN_TILOSTILO_ECTOSOMICO,CURVADA,OXAS_ESTRONGILOXAS,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,SI,MICROESTILOS_Y_MICROXAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,MAZAS_PEDUNCULADAS_1/PEDUNCULO,0,NO,AMARILLO_PALIDO,LISA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_AGGLUTINARIS,2_CAPAS,TANGENCIAL,SI,NO,NO,SI,3,NO,INTERMEDIARIOS,3_TIPOS,NO,SI,NO,NO,NO,NO,NO,NORMAL,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,NORMAL,ESTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,OTROS,LISA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_CONIGERA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,NO,INTERMEDIARIOS,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,POLITILOTA,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,POLITILOTA,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,?,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_CORTICATA,2_CAPAS,PERPENDICULAR,SI,NO,NO,NO,4,NO,INTERMEDIARIOS,3_TIPOS,NO,SI,NO,NO,NO,NO,NO,FUSIFORME,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,ESTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,4,SI,?,LISA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_ECTOFIBROSA,2_CAPAS,TANGENCIAL,SI,SI,NO,NO,2,NO,ECTOSOMICOS_DISPERSOS,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,NORMAL,NORMAL,SIN_TILOSTILOS,SIN_MEGASCLERAS_ECTOSOMICAS,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,INCRUSTANTE,2,SI,OTROS,HISPIDEZ_MAYOR_HACIA_LA_BASE,RADIAL,NO,NO,NO,DURO
POLYMASTIA_FUSCA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,3,NO,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,NORMAL,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,ESTILO_TILOSTILO,SIN_EXOSTILOS,NORMAL,ESTILO_TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,MASIVO_IRREGULAR,4,SI,OTROS,LISA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_GRIMALDI,3_CAPAS,TANGENCIAL,SI,SI,NO,NO,3,NO,ECTOSOMICOS_DISPERSOS,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,FUSIFORME,FUSIFORME,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,ESTILO_TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,4,SI,?,HISPIDEZ_MAYOR_HACIA_LA_BASE,RADIAL,NO,NO,NO,DURO
POLYMASTIA_HIRSUTA,2_CAPAS,PERPENDICULAR,SI,NO,NO,NO,4,NO,INTERMEDIARIOS,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,POLITILOTA,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,MASIVO_IRREGULAR,3,SI,?,SOLO_PAPILAS_LISAS,CONFUSA,NO,NO,NO,DURO
POLYMASTIA_INFLATA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,3,NO,INTERMEDIARIOS_Y_ECTOSOMICOS,3_TIPOS,NO,NO,NO,NO,SI,NO,NO,SIN_ESPICULA_PRINCIPAL_ESTILO,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,AMARILLO_PALIDO,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_INFRAPILOSA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,4,NO,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,FUSIFORME,FUSIFORME,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,3,SI,AMARILLO_PALIDO,HISPIDEZ_MAYOR_HACIA_LA_BASE,RADIAL,NO,NO,NO,DURO
POLYMASTIA_INVAGINATA,2_CAPAS,PERPENDICULAR,SI,NO,NO,NO,2,NO,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,FUSIFORME,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_FUSIFORME,TILOSTILO,TILOSTILO_LISO,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,HEMISFERICA,1,SI,?,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_LITTORALIS,2_CAPAS,TANGENCIAL_Y_PERPENDICULAR,SI,NO,NO,NO,4,NO,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,SI,NO,NO,NO,NO,NO,FUSIFORME,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,?,ATERCIOPELADA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_MAMMILLARIS,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,NO,INTERMEDIARIOS,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,3,SI,AMARILLO_PALIDO,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_MARTAE,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,NO,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,POLITILOTA,POLITILOTA,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,TRILOBULADA_CON_VESICULA_AXIAL,CURVADA,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,MASIVO_IRREGULAR,2,SI,OTROS,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_POLYTYLOTA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,NO,INTERMEDIARIOS_Y_ECTOSOMICOS,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,POLITILOTA,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,1,SI,?,ATERCIOPELADA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_RADIOSA,1_CAPA,SIN_CAPA_INTERNA_DEL_CORTEX,SI,NO,NO,NO,3,SI,ECTOSOMICOS_EN_RAMILLETES,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,INCRUSTANTE,1,SI,OTROS,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
POLYMASTIA_ROBUSTA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,3,NO,INTERMEDIARIOS,2_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,3,SI,?,ATERCIOPELADA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_SPINULA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,SI,INTERMEDIARIOS,3_TIPOS,NO,NO,NO,NO,SI,NO,NO,SIN_ESPICULA_PRINCIPAL_ESTILO,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,2,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,AMARILLO_PALIDO,ATERCIOPELADA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_TENAX,2_CAPAS,PERPENDICULAR,SI,NO,NO,NO,4,NO,INTERMEDIARIOS_Y_ECTOSOMICOS,3_TIPOS,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,FUSIFORME,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,RECTA_NO_FUSIFORME,TILOSTILO,SIN_EXOSTILOS,FUSIFORME,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,OTROS,LISA,RADIAL,NO,NO,NO,DURO
POLYMASTIA_TISSIERI,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,2,NO,ECTOSOMICOS_DISPERSOS,3_TIPOS,NO,NO,NO,SI,NO,NO,NO,POLITILOTA,POLITILOTA,SUBESFERICA_ALARGADA_OVOIDE,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,TILOSTILO_LISO,NORMAL,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,HEMISFERICA,2,SI,OTROS,HISPIDEZ_MAYOR_HACIA_LA_BASE,RADIAL,NO,NO,NO,DURO
POLYMASTIA_UBERRIMA,2_CAPAS,TANGENCIAL,SI,NO,NO,NO,4,NO,INTERMEDIARIOS_Y_ECTOSOMICOS,3_TIPOS,NO,NO,NO,NO,SI,NO,NO,SIN_ESPICULA_PRINCIPAL_ESTILO,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,SIN_EXOSTILOS,NORMAL,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,3,SI,?,ATERCIOPELADA,RADIAL,NO,NO,NO,DURO
PROSUBERITES_EPIPHYTUM,SIN_CORTEX,SIN_CAPA_INTERNA_DEL_CORTEX,NO,SIN_CORTEX,SIN_CORTEX,SIN_CORTEX,0,NO,SIN_TILOSTILOS_ADICIONALES,1_TIPO,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,SIN_TILOSTILO_ECTOSOMICO,SIN_MEGASCLERA_ECTOSOMICA,SIN_MEGASCLERA_ECTOSOMICA,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,1,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,INCRUSTANTE,0,NO,OTROS,LISA,HYMEDESMOIDE,NO,NO,NO,DURO
PROSUBERITES_LONGISPINA,SIN_CORTEX,SIN_CAPA_INTERNA_DEL_CORTEX,NO,SIN_CORTEX,SIN_CORTEX,SIN_CORTEX,0,NO,SIN_TILOSTILOS_ADICIONALES,1_TIPO,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,SIN_TILOSTILO_ECTOSOMICO,SIN_MEGASCLERA_ECTOSOMICA,SIN_MEGASCLERA_ECTOSOMICA,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,INCRUSTANTE,0,NO,AMARILLO_PALIDO,TOTALMENTE_HISPIDA,HYMEDESMOIDE,NO,NO,NO,DURO
PROSUBERITES_RUGOSUS,SIN_CORTEX,SIN_CAPA_INTERNA_DEL_CORTEX,NO,SIN_CORTEX,SIN_CORTEX,SIN_CORTEX,0,NO,SIN_TILOSTILOS_ADICIONALES,1_TIPO,NO,NO,NO,NO,NO,NO,SI,SIN_ESPICULA_PRINCIPAL_ESTILO,NORMAL,SUBESFERICA_ALARGADA_OVOIDE,SIN_MEGASCLERAS_ECTOSOMICAS,SIN_TILOSTILO_ECTOSOMICO,SIN_MEGASCLERA_ECTOSOMICA,SIN_MEGASCLERA_ECTOSOMICA,SIN_EXOSTILOS,SIN_MEGASCLERA_INTERMEDIARIA,SIN_MEGASCLERA_INTERMEDIARIA,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,INCRUSTANTE,0,NO,OTROS,LISA,HYMEDESMOIDE,NO,NO,NO,DURO
PROTELEIA_SOLLASI,3_CAPAS,TANGENCIAL_Y_PERPENDICULAR,SI,NO,NO,NO,3,NO,ECTOSOMICOS_DISPERSOS,3_TIPOS,NO,SI,NO,NO,NO,NO,NO,FUSIFORME,SIN_ESPICULA_PRINCIPAL_TILOSTILO_,SIN_TILOSTILOS,EMPALIZADA,SUBESFERICA_ALARGADA_OVOIDE,CURVADA,TILOSTILO,ANATRIENAS,FUSIFORME,TILOSTILO,3,NO,SIN_MICROSCLERAS,NO,SIN_ESFERASTER,SIN_ASTER,SIN_DIPLASTERES,SIN_ESFERASTER,DE_REVESTIMIENTO,2,SI,?,SOLO_PAPILAS_LISAS,RADIAL,NO,NO,NO,DURO
